name,city,province,latitude,longitude,categories,primaryCategories,review_count,avg_rating
Rancho Valencia Resort Spa,Rancho Santa Fe,CA,32.990959,-117.186136,"Hotels,Hotels and motels,Hotel and motel reservations,Resorts,Resort,Hotel",Accommodation & Food Services,3,5.0
Aloft Arundel Mills,Hanover,MD,39.155929,-76.716341,"Hotels,Hotels and motels,Travel agencies and bureaus,Hotel and Motel Management,Hotel & Motel Management,Motels,Hotel",Accommodation & Food Services,6,4.5
Hampton Inn Suites PortlandVancouver,Vancouver,WA,45.619212,-122.525196,"Hotels,Hotels and motels,Hotel and motel reservations,Corporate Lodging,Lodging,Real estate,Hotel",Accommodation & Food Services,6,5.0
Hotel Phillips,Kansas City,MO,39.100119,-94.584701,"Hotels,Caterers,Hotels and motels,Hotel,Restaurants",Accommodation & Food Services,5,4.2
The Inn at Solvang,Huntingdon,PA,40.527478,-77.969763,"Bed Breakfasts,Bed Breakfast,Hotels Motels,Hotel",Accommodation & Food Services,1,5.0
Econolodge,Perry,GA,32.471878,-83.745217,"Hotels,Corporate Lodging,Lodging,Hotels Motels,Motels,Hotel",Accommodation & Food Services,1,5.0
Hotel Zelos,San Francisco,CA,37.785211,-122.40579,"Hotels,Resort,Spa,Meeting Room,Hotel",Accommodation & Food Services,4,4.25
EconoLodge,Vineland,NJ,39.487449,-75.044475,"Hotels and motels,Hotel and motel reservations,Motel,Hotels Motels,Banquet facilities,Hotel",Accommodation & Food Services,2,1.0
Hampton Inn Suites National HarborAlexandria Area,Oxon Hill,MD,38.782134,-77.015018,"Hotels,Corporate Lodging,Lodging,Hotel",Accommodation & Food Services,31,4.516129032258065
Fairmont Grand Del Mar,San Diego,CA,32.938326,-117.197639,"Hotels,Concierge Service,Resort,Resorts,Budget Hotels,Tourist Hotels,Hotels Motels,Family-friendly Hotels,Hotel,Business Hotels,Golf Courses",Accommodation & Food Services,16,4.875
Best Western at OHare,Des Plaines,IL,41.999219,-87.886164,"Hotels,Travel & Transport,Hotels Motels,Hotels & Motels,Hotel",Accommodation & Food Services,4,3.75
Clarion Resort Waterpark,Kissimmee,FL,28.286793,-81.350343,"Family-Friendly Hotels,Budget Hotels,Resorts,Resort,Tourist Hotels,Resort, Pool, and Hotel,Pool,Water Parks,Hotels & Motels,Business Hotels,Hotel",Accommodation & Food Services,1,5.0
Virgin Hotels Chicago,Chicago,IL,41.885982,-87.6261,"Hotels,Honeymoon Resorts,Resorts Reservations,Hotel",Accommodation & Food Services,19,4.776315789473684
The Boxer,Boston,MA,42.363911,-71.0624,"Hotels,Hotel",Accommodation & Food Services,50,4.285
The Old No. 77 Hotel & Chandlery,New Orleans,LA,29.947913,-90.06748,"Hotels,Hotel",Accommodation & Food Services,5,5.0
Main Street Station Casino Brewery Hotel,Las Vegas,NV,36.17432,-115.14565,"Hotels,Hotel",Accommodation & Food Services,29,4.401724137931034
Fremont Hotel & Casino,Las Vegas,NV,36.1708905,-115.14307,"Hotels,Hotel",Accommodation & Food Services,85,3.67
The Charlesmark Hotel,Boston,MA,42.3499894,-71.07857,"Hotels,Boutique Hotels,Hotel",Accommodation & Food Services,99,4.265656565656566
AC Hotel by Marriott Boston Downtown,Boston,MA,42.3450899,-71.06181,"Hotels,Hotel",Accommodation & Food Services,1,5.0
The Hotel of South Beach,Miami Beach,FL,25.77828,-80.13189,"Hotels,Hotel",Accommodation & Food Services,7,4.385714285714285
The Pearl Hotel,New York,NY,40.761483,-73.98547,"Hotels,Hotel",Accommodation & Food Services,1,5.0
Hotel Renew,Honolulu,HI,21.27278,-157.82226,"Hotels,Hotel",Accommodation & Food Services,18,4.555555555555555
Four Seasons Hotel New York Downtown,New York,NY,40.7124701,-74.00908,"Hotels,Hotel",Accommodation & Food Services,1,5.0
The James New York – NoMad,New York,NY,40.7445978,-73.98543,"Hotels,Hotel",Accommodation & Food Services,1,5.0
MOXY New Orleans Downtown/French Quarter Area,New Orleans,LA,29.953565,-90.07317,"Hotels,Hotel",Accommodation & Food Services,1,5.0
Bienville House,New Orleans,LA,29.9538338,-90.06527,"Hotels,Hotels and motels,Hotel",Accommodation & Food Services,1,5.0
Room Mate Lord Balfour,Miami Beach,FL,25.773148,-80.1326,"Hotels,Hotel",Accommodation & Food Services,65,4.257692307692308
The Westin Las Vegas Hotel & Spa,Las Vegas,NV,36.1151369,-115.16572,"Hotels,Hotel",Accommodation & Food Services,171,4.200584795321637
The Broome,New York,NY,40.7213701,-73.99934,"Hotels,Hotels and motels,Hotel",Accommodation & Food Services,2,5.0
W Boston,Boston,MA,42.350811,-71.06557,"Hotels,Hotel",Accommodation & Food Services,78,4.225641025641026
"Mandarin Oriental, Miami",Miami,FL,25.76499,-80.18503,"Hotels,Hotel",Accommodation & Food Services,1,5.0
"The Ritz-Carlton, Boston",Boston,MA,42.3531032,-71.06333,"Hotels,Resort,Meeting Room,Hotel",Accommodation & Food Services,1,5.0
The St. Regis New York,New York,NY,40.761408,-73.9743,"Hotels,Hotel",Accommodation & Food Services,51,4.529411764705882
Miyako Hotel Los Angeles,Los Angeles,CA,34.049671,-118.24019,"Hotels,Hotel",Accommodation & Food Services,20,4.467499999999999
AC Hotel Chicago Downtown,Chicago,IL,41.8935352,-87.62563,"Hotels,Hotel",Accommodation & Food Services,11,4.081818181818182
Ace Hotel Chicago,Chicago,IL,41.88757,-87.65201,"Hotels,Hotel",Accommodation & Food Services,4,4.65
dana hotel and spa,Chicago,IL,41.89424,-87.62837,"Hotels,Hotel",Accommodation & Food Services,46,4.482608695652174
Kinzie Hotel,Chicago,IL,41.889408,-87.628939,"Hotels,Hotel",Accommodation & Food Services,138,4.4380434782608695
Moxy Chicago Downtown,Chicago,IL,41.8917552,-87.63284,"Hotels,Hotel",Accommodation & Food Services,1,2.0
Montage Beverly Hills,Beverly Hills,CA,34.06773,-118.39892,"Hotels,Hotel",Accommodation & Food Services,11,4.0181818181818185
Hotel Zetta San Francisco,San Francisco,CA,37.783529,-122.40686,"Hotels,Hotel",Accommodation & Food Services,63,4.350793650793651
1906 Lodge At Coronado Beach,Coronado,CA,32.683517,-117.176483,"Resorts & Vacation Cottages,Hotels and motels,Hotel and motel reservations,Resorts,Hotels Motels,Accommodations & Lodging,Hotels & Motels,Hotel",Accommodation & Food Services,1,5.0
"Home2 Suites By Hilton Philadelphia-Convention Center, Pa",Philadelphia,PA,39.953892,-75.160093,"Hotels,Hotels and motels,Lodging,Accommodations & Lodging,Banquet Facilities,Hotel","Healthcare & Social Assistance,Accommodation & Food Services",18,4.222222222222222
Chelsea Savoy Hotel,New York,NY,40.744092,-73.995989,"Hotels,Hotels and motels,Travel agencies and bureaus,Hotel Motel & Resort Reservations,Accommodations & Lodging,Hotel Chelsea,Hotel",Accommodation & Food Services,2,4.0
Central Loop Hotel,Chicago,IL,41.879294,-87.631016,"Hotels,Hotels and motels,Hotel and motel reservations,Lodging,Accommodations & Lodging,Motels,Hotel",Accommodation & Food Services,20,4.25
Royal Resort,Las Vegas,NV,36.13234,-115.16201,"Hotels,Resorts,Hotels-Apartment,Motels,Hotel",Accommodation & Food Services,2,4.0
Sterling Gardens Hotel,Las Vegas,NV,36.16118,-115.12369,"Hotels,Hotels Motels,Motels,Hotel",Accommodation & Food Services,1,4.0
SpringHill Suites Las Vegas Convention Center,Las Vegas,NV,36.13499,-115.15548,"Hotels,Hotels Motels,Hotel",Accommodation & Food Services,1,5.0
"The Cartwright Hotel - Union Square, BW Premier Collection",San Francisco,CA,37.7895,-122.4092,"Hotels,Hotels Motels,Hotel",Accommodation & Food Services,2,2.5
Best Western Plus Inn At The Vines,Napa,CA,38.2809,-122.27375,"Hotels,Hotel",Accommodation & Food Services,74,4.148648648648648
Aloft New Orleans Downtown,New Orleans,LA,29.952728,-90.07257,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,39,4.230769230769231
Hampton Inn and Suites Napa,Napa,CA,38.28311,-122.2812895,"Hotels and motels,Hotel",Accommodation & Food Services,25,4.32
Hampton Inn & Suites Dallas/Cockrell Hill I-30,Dallas,TX,32.76907,-96.89504,"Hotels,Hotels and motels,Corporate Lodging,Lodging,Hotel",Accommodation & Food Services,4,4.5
Fairfield Inn & Suites by Marriott Key West at The Keys Collection,Key West,FL,24.56863,-81.75256,"Hotels,Corporate Lodging,Lodging,Hotel",Accommodation & Food Services,20,4.3
The Villa Toscana,Chicago,IL,41.945041,-87.649413,"Hotels,Bed Breakfast Lakeview,Hotel",Accommodation & Food Services,3,4.666666666666667
Bed and Breakfast Inn Seattle,Seattle,WA,47.61878,-122.30823,"Hotels,Hotel",Accommodation & Food Services,1,5.0
Quality Inn Midway Airport,Chicago,IL,41.76036,-87.7415,"Hotels,Hotels and motels,Motels,Hotel",Accommodation & Food Services,1,5.0
Rodeway Inn,Chicago,IL,41.98916,-87.7059,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,22,2.727272727272727
Freehand Chicago,Chicago,IL,41.89233,-87.62727,"Hotels,Hotel",Accommodation & Food Services,1,1.0
WoodSpring Suites Phoenix I-10 West,Phoenix,AZ,33.46376,-112.15198,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,1,5.0
Holiday Inn North Phoenix,Phoenix,AZ,33.5944,-112.1199,"Resorts,Lodging,Luxury Hotels,Family-friendly Hotels,Accommodation Reservations,Hotels,Weekend Getaway Hotels,Conference Room,Tourist Hotels,Meeting Room,Hotels Motels,Hotel,Beach Hotels,Business Hotels",Accommodation & Food Services,32,3.0
Comfort Inn I-10 West at 51st Ave,Phoenix,AZ,33.46131,-112.17149,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,3,4.0
Red Roof Inn Phoenix North - Bell Road,Phoenix,AZ,33.642735,-112.116394,"Hotels,Hotel",Accommodation & Food Services,3,2.3333333333333335
Hotel 502,Phoenix,AZ,33.510227,-112.08061,"Hotels,Hotel",Accommodation & Food Services,8,3.25
The Nolitan Hotel,New York,NY,40.7206,-73.9953,"Hotels and motels,Hotel and motel reservations,Hotel and motel mgmt.,Hotels Motels,Hotel",Accommodation & Food Services,1,5.0
Hilton Garden Inn Atlanta Downtown,Atlanta,GA,33.76201,-84.39575,"Hotels,Event Space,Other Nightlife,Lodging,Hotel",Accommodation & Food Services,38,4.2105263157894735
"The Beekman, A Thompson Hotel",New York,NY,40.7112335,-74.006745,"Hotels,Hotels and motels,Real estate,Hotel",Accommodation & Food Services,1,5.0
The St. Regis Atlanta,Atlanta,GA,33.83985,-84.38262,"Hotels,Lodging,Hotel",Accommodation & Food Services,7,5.0
